為	làm việc,vị,vy,vi
閧	hống
捩	lệ,liệt
镫	đặng,đăng
稅	thối,thoát,thuế
鈮	ni
旺	vượng
緧	thu
搠	sóc
醓	thản,thảm
紾	khẩn,chẩn,diễn
坫	điếm
鰩	dao,diêu
餾	lựu,lưu
亞	á,a
髦	mao
澐	vân
衛	vệ
俶	thục,thích
搬	ban,bàn
鋐	hoành
椵	giả,gia
造	tạo,tháo
柈	bàn,bán
鷿	tịch
趼	kiển,nghiễn
煼	sao
皓	hạo,cảo,cáo
裩	côn
僻	tích,tịch
蒮	dục
璅	tảo,tỏa
癧	lịch
仔	tử,tể
倮	khỏa,khõa,lõa
蹲	tồn,tỗn,thuẫn
駾	thoái
鞋	hài
嶋	đảo
僮	đồng,tráng
請	tình,tính,thỉnh
椭	thỏa
旬	quân,tuần,quyên
髕	tẫn,bận
钃	chúc
彽	đê
伧	sanh
昕	hân
拂	phất,bật,phật
疁	liêu
姼	thi
褹	nghệ
亲	thấn,thân
扱	hấp,tháp,tráp
鞘	sao,tiếu
痞	bĩ
竇	đậu
鬗	man
峿	ngữ,ngô
儷	lệ
嬽	oan,huyên
訴	tố
阨	ách,ải
鋡	hàm
裸	khõa,quán,lõa,lỏa,khỏa
嗔	sân,điền
滟	liễm,diễm
浇	kiêu,nghiêu
吓	hạ,hách,nha
嘺	khiêu,kiệu,kiều
鞻	lâu
頸	cảnh
犪	qùy
滑	cốt,hoạt
頀	hộ
㨪	hoảng
朧	long,lung,lông
跣	tiển,tiên
夙	túc
雏	sồ
竹	trúc
玺	tỷ,tỉ
襡	thục,độc
講	giảng
喈	giai,dê
縚	thao
歓	hoan
弭	mị,nhị
癥	trưng
簀	trách
懁	hoàn,hoài
韈	vạt,mạt,miệt
變	biến,biện
晊	chí
釭	công,cang
县	huyện,huyền
咀	tứ,tữ,trớ,tư,chủy
陏	đọa,tùy
飘	phiêu
仇	câu,cừu
錕	côn
詟	triệp
蟊	mâu
閈	hãn
痀	câu,củ
毙	tễ,tệ
晼	oản,uyển
乇	thác,trách
媕	am,an,yểm
屉	thế
哫	túc
鄑	tấn
魯	lữ,lỗ
捺	nại
尷	dam,giam
嘮	lạo,lao
陶	giao,dao,đào
虑	lự,lư
湇	khấp
癹	bát
铭	minh
虿	mại,sái
契	khất,khế,khiết,tiết
筛	sư,si
嚲	đả
鸀	chúc
菶	bổng
餔	bộ,bô
姍	san,tiên
墜	trụy
弶	cương
糟	tao
圜	hoàn,viên
跂	kì,kĩ,xí,kỳ,khí,kịch
猟	liệp,lạp
亨	hưởng,phanh,hanh
筦	quản
伙	hỏa,khỏa,lõa
坏	hoại,hoài,bôi,khôi,nhưỡng,bùi,phôi
漸	tiềm,tiệm,tiêm
鈧	kháng
碔	vũ
檮	đào
煠	sáp
族	thấu,tộc,tấu
帵	oan,uyên
螋	sưu
辰	thìn,thần
郸	đan
羙	mỹ
爹	đa,đà
粮	lương
翤	sí
嗓	tảng
犸	mã
