為	làm việc,vị,vy,vi
沨	phong
瞟	phiếu,phiêu
翭	hầu
朶	đóa
慯	thưởng
蹒	man,bàn
蝤	tưu,tù,du
拔	bạt,bội
鎦	lựu,lưu
峮	quân
銱	điếu
鈉	nạp,nột
槿	cẩn,cận
泭	phu
柽	sanh
渱	hồng
癭	anh
贐	tẫn
皫	phiếu
鹤	hạc
筭	toán
毆	ấu,ẩu,khu
浶	lao
葝	kinh,kính
毹	su,du
悀	dũng
汎	phạp,phiếm,phùng
鋟	tẩm,xâm,tiêm
幰	hiến,hiển
婐	ỏa,a
佸	quát
閌	kháng,khang
邂	giải
喂	ủy,uy,úy
漻	liêu,liệu
瑛	anh
茗	mính,minh
确	khác,xác
璆	cầu
賑	chẩn
邠	bân
酃	linh
逖	thích,địch
粥	dục,chúc
怄	âu
箧	khiếp
辂	nhạ,lộ
鐧	giản
纭	vân
鷓	giá,chá,gia
碏	tích,thước,thác
剞	ỷ,cơ,kỳ,kỷ,kỉ
兓	tán,tâm
熲	huỳnh,quýnh
鲿	thường
凖	chuẩn
糽	tranh,đinh
抃	biến,biện
捦	cầm
讄	lũy
澹	đam,đạm,đàm
疡	dương
迕	ngỗ
蚚	kỳ
摔	suất
蜴	dịch
額	ngạch
黥	kình
龘	đạp
归	quy
垵	am
裎	trình
圾	sắc,ngập
蟆	mạc,mô
橊	lựu,lưu
烋	hao,hưu
济	tế,tể
衄	nục
红	hồng
幂	mạc,mịch
迋	vượng,cuống,vương
谲	quyệt
鶱	hiên
囱	thông,song
壏	hám
矯	kiểu
臼	cữu
觢	sế
嚂	hảm,lạm
枸	câu,cẩu,củ
悇	dự
醾	my,mi
叼	điêu
醳	dịch
靿	áo
坵	khâu,khưu
谣	dao
徒	đồ
簙	bác,bạc
苬	tù
锺	chung
嚇	hách
摋	sát,tát
苛	kha,hà,ha
久	cửu
眙	sỉ,di,dị
趨	xúc,xu
掩	yểm
图	đồ
宥	hựu
豌	oản,uyển
輬	lương
裱	phiếu,biểu
曩	nẵng,nãng
黣	mỗi
設	thiết
糧	lương
牯	cổ
檑	lôi
髁	khỏa,khõa
樣	dạng
蚄	phương
闿	khai,khải
纓	anh
爕	tiếp
腏	chuyết
剢	trác
堃	khôn
隖	ổ
柚	dữu,trục
栵	lệ,liệt
埲	bồng,phủng
它	xà,đà,tha
矍	quắc
矮	oải,ải,nụy
溞	tao
蟪	huệ
丐	cái
逢	bồng,phùng
鲔	vị,vĩ
橚	thu,túc
欠	khiếm
楪	điệp
蟹	giải
燈	đăng
繈	cưỡng
妪	ủ,ẩu
媟	tá,tiết,tiếp
雴	lập
麌	ngu,vy
漨	bồng
税	thối,thoát,thuế
樨	tê
緸	nhân
瑇	đại
柟	nam
铆	mão
筒	đồng,động
馂	tuấn
袖	tụ
葹	thi
芭	ba
港	cảng,hống
蓴	thuần
拥	ủng,ung
頽	đồi
箠	chủy
載	tải,tái,tại
畸	kỳ,ki,ky,cơ
灂	trạc,tiếu,trác
儼	nghiễm
拟	nghĩ
馃	qủa
隅	ngung
叧	lánh,qủa
适	quát,thích,trích,đích
傘	tản,tán
魫	chẩm
錛	bôn
鰆	xuân
涑	tâu,tốc
湞	sanh,trinh
弇	yểm,yêm
厏	trả
匃	cái
眇	miễu,diệu,miểu
柤	trở,tra
佑	hữu,hựu
虵	xà
熨	uất,úy
烰	phù,bào
龗	lung,linh
褗	yển
昳	điệt,dật,diễm
玀	la
鍠	hoàng
霐	hoằng
遱	lâu
朵	đóa
稯	tông
乑	ngâm,khâm
晰	tích
搔	tao,trảo
閵	lận
茑	điểu
妲	đán,đát
扅	di
缣	kiêm
皐	cao
莪	nga
儜	ninh
范	phạm
駸	xâm
膜	mạc,mô
怿	dịch
籮	la
鯡	phi
仃	đính,đinh
惣	tổng
刖	nguyệt,ngoạt
緱	câu
诤	tranh,tránh
昞	bỉnh,bính
晨	thần
扮	phẫn,phạn,biện,ban,bán
工	công
蟇	mạc
岡	cương
餀	hải
蚴	u
忏	thiên,sám
槅	cách,hạch
鸊	tịch
柿	thị,sĩ
潝	hấp
踯	trịch
殻	xác
巻	quyển
婀	a,ả
僕	bộc
屙	kha,ố,a
朳	bát
赫	hách
覔	mịch
睢	huy,thư,tuy
粑	ba
办	biện,bạn
樚	lộc
徑	kính
蚓	dẫn
场	tràng,trường
繵	triền
檥	nghị,nghi,nghĩ
擤	tỉnh,hanh
榇	thấn,sấn
鷁	nghịch
脯	bô,phủ
牸	tự
辧	biện
碸	phong
停	đình
菩	phụ,bồ,bội
巂	huê,tây
絺	hy,hi
迢	điều,thiều
嫮	hộ
案	án
臑	noãn,nhi,nộn,nê,nhu,nao,nạo
觠	quyền
铕	hữu
洌	liệt
詐	trá
謷	ngạo,ngao
奉	bổng,phụng
禬	quái
勮	kịch,cự
常	thường
氏	thị,chi
凌	lăng
閾	vực,quắc
淄	truy,chuy,tri
顋	tai
滀	súc
僝	sàn,sạn
侻	thoát,đoái
估	cổ
蓽	tất
敹	liêu
蹬	đặng,đăng
屖	tê
岿	khuy,vị
鏺	bạt,bát
汔	khất,ngật
鉆	kiềm,siêm
鉶	hình
葠	sâm
飩	đồn
傎	điên
猵	biên,biển
擋	đáng,đảng
隃	dao,du
媼	ảo
蕍	du
驮	đạ,đà
鄕	hướng,hương
鈰	thị
诛	tru
谆	truân,chuân
帹	sáp,thiếp
氬	á
識	chí,thức
暆	di
骡	loa,la
淼	diểu,diễu,miểu
愤	phẫn,phấn
忔	hật,ngật
髅	lâu
頟	ngạch
虓	khiêu,hao
桌	trác
吒	trá,tra
仝	đồng
菏	hà
孩	hài
賭	đổ
瓿	bẫu,phẫu
钙	cái
纫	nhận,nhân
簳	cán
嘲	trào
盾	my,thuẫn
藼	huyên
梯	thê
顨	tốn
硕	thạc
瑱	chấn,trấn,thiến,điền
杼	thữ,trữ,thự,thư
響	hưởng
僑	kiều
吼	hống
丮	kịch
椓	trạc,trác
鳛	tập
褡	áp,đáp
稚	trĩ
蠜	phàn
糢	mô
萼	ngạc
斝	giả
𥿎	uyển
午	ngọ
碙	cương,nạo
腚	đĩnh
讱	nhẫn
螇	hề
檸	ninh,nịnh
挫	tỏa
喵	miêu
伸	thân
褺	điệp
磚	chuyên
飓	cụ
诣	nghệ
讽	phúng
溧	lật
应	ưng,ứng
娜	na,nả,nã
焦	tiêu,tiều
劾	hặc
芹	cần
髫	điều,thiều
滒	ca
龡	xuy,xúy
爝	tước
耬	lâu
似	tựa,tự
澳	úc,áo
索	sách,tác
祂	tha
关	quan,loan,tiếu
猱	nhu,nao
凇	tùng,tung
鏢	tiêu,phiêu
磗	chuyên
合	hiệp,cáp,hợp,hạp
额	ngạch
祲	tẩm
恲	phanh
鲀	đồn
扡	thiên,tha
櫌	ưu
嬌	kiều
抿	mân
鼦	điêu
葭	hà,gia
篿	đoàn
鍧	hoanh,oanh
縵	mạn,man
诖	quái
蜋	lang
些	ta,tá
罾	tăng
投	đầu,đậu
冽	liệt
侎	mị
胗	truân,chân,chẩn
龕	khám,kham
瀟	tiêu
鬨	hạng,hống
謅	xảo,sảo,sưu
姽	qủy
螸	du
漱	sấu,thấu,tâu
洣	mễ
擩	nhuyên,nhũ,nhụ
汐	tịch
鵟	cuồng
觭	kỳ,khi,ky,cơ
嶺	lãnh,lĩnh
荼	đồ,gia
胎	thai
蘽	lũy
鸜	cù
癠	tễ
馗	qùy
姱	khoa
嵘	vanh
萐	tiệp
唇	chấn,thần
骍	tinh,tuynh
档	đáng,đương
燻	huân
歀	khoản
饟	hướng
吡	phỉ,tật
仯	sáo
忺	hiêm
镕	dong,dung
鸬	lô
鳣	chiên,thiện,triên
雳	lịch
奝	điêu
攵	phộc,phốc,phác,truy
檀	đàn
笛	địch
蚘	hồi,vưu
摕	đế
腊	tích,tịch,lạp
蓂	minh
俓	kính
稠	trù,điệu,điều
詁	hỗ,cổ
偞	diệp
塽	sảng
淴	ốt,hốt
筧	kiển
鵶	nha
卓	trác
砉	hoạch
模	mô
畹	uyển
犏	biên,thiên
洴	bình
綹	lữu
獬	giải,hải
丅	hạ
鋒	phong
镥	lỗ
颯	táp
尾	vĩ
笪	đát
辝	từ
檠	kình,kềnh,kính
锻	đoạn,đoán,đoàn
耍	sá,xọa,sái,sọa
冫	băng
輴	xuân
蘚	tiển
憑	bẵng,bằng
幄	ác
硍	khẳng,hạn,khẩn
汊	xá,sá
矛	mâu
鐒	lao
怤	phu,phô
赗	phúng
块	khối
隣	lân
醛	thuyên,triết
跒	kha,khả
蚟	vương
偊	chủ,vũ,củ
箦	trách
泓	hoằng
藕	ngẫu
貝	bối
勩	duệ
蒎	phái
鮻	toa
妥	thỏa
凑	thấu,tấu
亂	loạn
玲	linh
簰	bài
羂	quyến,quyên,quyển
赨	đồng,dung
熭	duệ
鳲	thi
惙	chuyết,xuyết
鹡	tích
棲	tê,thê
彭	bàng,bành,bang
萷	tiêu
麸	phu
厵	nguyên
鐻	cự,cừ,cứ
脢	môi
濩	hoạch
𠾀	triệt
廎	khoanh,khoảnh
衬	sấn
忪	chung
灞	bá
纎	tiêm
橡	tượng
乜	mị,mã,khiết
缠	triền
柁	đà,đả
祉	chỉ
榖	cốc
仌	băng
鰨	tháp
攣	luyến,luyên
妗	cấm
貤	di,dị
嗑	hạp
髥	nhiêm
犄	cơ,ỷ
擏	kình,cảnh
蝎	hiết,yết,hạt
氚	xuyên
玂	kỳ
拑	kiềm
佀	tự
朕	trẫm
耏	nại,nhi
姐	thư,tả
薇	vy,vi
摮	ngao
榆	du
扇	phiến,thiên
劍	kiếm
卻	khước
蹍	chiển,niễn,triển
駹	mang
詖	bí
錘	chuy,chùy,chúy
钭	đẩu
幹	can,cán,hàn
醍	đề,thể
閲	duyệt
芟	sam
匒	đáp
蠧	đố
挡	đáng,đảng
么	yêu,ma
箌	trạo,tráo
劻	khuông
㕡	hác
祏	thạch
涊	niễn
軧	để
肴	hào
睨	nghễ
鸟	điểu
絏	tiết
豴	đích
冠	quan,quán
媖	anh
夣	mộng
爯	xưng
坲	phật
駔	tổ,tảng
鏮	khang
劀	quất
膾	khoái,quái
潯	tầm
笨	bổn,bản,bát
蜄	chấn
椏	nha
莙	quân,quẫn
氮	đạm
箕	cơ,ki,ky
碪	châm
彬	bân
劵	quyển
厲	lệ,lại
妁	chước
隲	chất
餹	đường
囮	ngoa
幻	huyễn,ảo
棳	xuyết
譥	khiếu
槇	điên
洞	đỗng,động
鬆	tung,tùng,tông
酩	mính
饥	cơ,ki,ky
弧	hồ,ô,o
岅	phản
笈	cấp
鞜	tháp
涣	hoán
锾	hoàn
膆	tố
螿	tương
搁	các
讙	huyên,hoan,hoán
谡	tắc
凛	lẫm
邷	ngõa
梖	bái
诘	cật
栝	quát,thiến,thiệm
岞	trách
雉	trĩ
銋	nhâm
迅	tấn
誩	cạnh
簻	qua
头	đầu
湡	ngu
頰	giáp
瘥	ta,sái
襴	lan
馋	sàm
椆	chu
幈	bình
魛	đao
砀	đãng,nãng,nương
檉	sanh
赶	cản
黷	độc
祡	sài
霤	lựu
籥	dược,thược
恂	tuân,tuấn
愕	ngạc
囌	tô
怯	khiếp
櫞	duyên
愞	nhuyễn
燒	thiếu,thiêu
耻	sỉ
赖	lại
欒	loan
柧	cô
轙	nghĩ
蘉	mang
甆	từ
队	đội
仨	ta
麕	quân,quần,khuân
皛	hiểu,hịch
臷	thiết
岪	phất,phật
宜	nghi
銅	đồng
錏	á,a
饫	ốc,ứ
漎	tủng,tùng,tung
偠	yểu
辚	lân
騍	khỏa,khóa
喥	đạc
戕	tường
惻	trắc
窹	ngụ
瑳	tha
轥	lận
護	hộ
歰	sáp
鞄	bào,bạc
朖	lãng
庬	bàng,mang
鳞	lân
輵	át,cát
冄	nhiễm
着	hồ,trứ,trước,trữ
霍	quắc,hoắc
霖	lâm
見	kiến,hiện
璃	ly,li,lê
惨	thảm
掱	vát,thủ
城	thành,giàm
塤	huân
玊	túc
館	quán
霁	tế,tễ
現	hiện
跇	sế
哙	khoái
綃	tiêu
閃	thiểm,siểm
驚	kinh
迨	đãi
诡	qủy,ngụy
擱	các
鐅	phiết
砩	phất,phế
嶡	quyết
絿	cầu
津	tân
抔	bồi,phầu
韍	phất
憐	lân,liên
篹	toản,soạn,toán
涅	niết,nát
釰	nhật
訔	ngân
佅	mại
肇	triệu
嗤	xi,xuy,si
殺	ái,sái,sát,tát
路	lạc,lộ
貺	huống
俑	thông,dõng,dũng
撲	phốc,phác,bạc
稿	cảo
檿	yểm
蠸	quyền
鱋	khư
剄	kinh,hĩnh
显	hiển
觷	hạc
爷	da,gia
驊	hoa
氘	đao
饹	lạc
臇	tuyến
颗	khỏa
鎢	ô
啐	thối,tối,ngạt,tát
尖	tiêm
涸	hạc
雒	lạc
眶	khuông
寊	trinh
闻	vặn,vấn,văn
骨	cốt
饅	man
瘅	đan,đản
濼	bạc,lạc
莃	hy
屛	phanh,bình,bính
樑	lương
埼	kỳ
黿	nguyên,ngoan
樸	phác,bốc
斐	phỉ,phi
蓲	âu
荠	tề,tể
緑	lục
偯	ai,ỷ
娈	luyến
儓	đại,thải,đài
跿	đồ
稱	xứng,xưng
沔	miện,miễn
茆	mao,mão,lữu
囔	nang
靳	cận
麽	yêu,ma
㓡	phủ
貛	hoan
蠮	yết,ế
跆	đài
跋	bạt
衾	khâm
迶	hữu
垡	phạt,phiệt
榤	kiệt
饁	diệp,ấp
咳	khái,hài
踰	du,dũ
疝	sán
賦	phú
硇	lỗ,nạo,nao
持	trì
惩	trừng
捭	phách,bác,bãi
懥	chí,sý,sí
竿	can,cán
蟛	bành
痳	lâm
鵞	nga
值	trị
诹	tưu
窔	yếu,yểu,diểu
癙	thử
阎	diêm
盪	đãng
糠	khang
癖	phích,tích
騠	đề
玁	hiểm
臍	tề
赣	cống,cám
札	trát
亹	vỉ,môn,mên,vĩ
蔥	thông
頊	húc
韦	vy,vi
擧	cử
佚	điệt,dật
徜	thảng
伕	phu
泄	duệ,tiết
睽	qúy,khuê
孢	bào
蝟	vị
乳	nhũ
濎	đỉnh
訢	hy,hi,hân
唝	cống
𢠢	ủy
楎	huy,hồn
槃	bàn
竘	cú
弓	cung
斆	giáo,hiệu
灾	tai
階	giai
歿	một
鎄	ai
诪	trù
巇	hy,hi
鋜	trạc
龣	giác
峱	nạo,nao
秽	uế
绊	bán,bạn
蓏	lõa,lỏa
夔	qùy
臡	nê
讚	tán
覷	kiến,thứ
棫	vực
藨	biễu,biều
烙	lạc
穌	tô
透	thấu
譅	sáp
尿	niếu,niệu,tuy
駻	hãn
鰳	lặc
汚	ố,ô
宸	thần
剰	thặng,thừa
剥	bác
厪	cần,cận
瑢	dung
耶	tà,da,gia
嘀	đích,đê
茔	doanh,oanh
碧	bích
宰	tể
鬾	kỵ
謁	yết
蚪	đẩu
壍	tiệm
翰	hàn
灖	mị
焄	huân,hôn
誣	vu
倴	bôn
胼	biền
鑤	bào
泱	ưởng,ương,anh,áng
嗚	ô
遑	hoàng
墋	sẩm
鉚	mão
鬫	hảm,hám
憿	kiêu
侯	hậu,hầu
穹	khung
葛	cát
閼	át,yên
垖	đôi
罨	yểm,ấp
鋸	cư,cứ
椶	tông
洺	danh,minh
簞	đan
瑯	lang
犁	lê
稽	khể,kê
杖	tráng,trượng
亩	mẫu
篞	niết
翙	kiều,hối
撄	oanh,anh
賓	thấn,tân
渢	phùng,phong
护	hộ
銦	nhân
痧	sa
蟶	sanh
爺	da,gia
陻	nhân
涵	hàm,hám
讨	thảo
瞆	qúy
閶	xương
彛	di
摆	bãi,bài,bi
嫚	oan,mạn
綧	chuẩn
圄	ngữ
轟	hoanh,oanh
愘	khác
咕	cô
潄	sấu,thấu
疉	điệp
憮	hủ,vũ
髙	cao
餯	hối
爦	lãm
萩	thu
枊	ngang
峌	điệt
芣	phù
秏	hạo,háo
錣	chuyết
旖	y,ỷ
彡	sam,tiệm
乃	ái,nãi
駜	bật
樒	mật
種	chủng,chúng
鯁	cánh,ngạnh
鍊	luyện
劄	tráp,trát
摰	chí,nghiệt
毐	ải
蚝	hào,thứ
援	viên,viện
陝	xiểm,thiểm,hiệp
頜	cáp,hàm,hạp
镐	hạo,cảo
嫟	nật
懧	nọa
灊	tiềm
氛	phân
瘸	qua
勉	mẫn,miễn
纮	hoành
櫩	diêm
沥	lịch
央	ương
岫	tụ
婤	chu
跲	kiếp,cáp,cấp
濦	hấp,ân
俋	ấp
顷	khuynh,khuể,khoảnh
謕	đề
緾	triền
喊	hảm,hám
啬	sắc
稗	bại
魔	ma
蠥	nghiệt
喃	nam
孒	củng,quyết
鑥	lỗ
聦	thông
鰉	hoàng
把	bả,bá,bà
蝲	lạt
抑	ức
澶	thiền,đạn
艸	thảo
坐	tọa
毕	tất
卢	lư,lô
觖	quyết,khụy
袱	phục
兢	căng
韗	vận
缾	bình
毿	tam
朂	húc
鹂	ly,li
蝕	thực
蘖	nghiệt,bách
屟	tiệp
芸	vân
摇	dao,diêu
醄	đào
嫘	luy
箆	bề,tỵ
鼗	đào
淀	điện,điến
醕	thuần
騙	phiến,biển
枏	nam
棷	trâu
向	hưởng,hướng
亍	xúc,súc
庣	thiêu
魭	nguyên
蟼	kỉnh
莐	trầm
咠	thấp
揜	yểm
懍	lẫm
殴	ấu,ẩu
钹	bạt
示	kỳ,kì,thị
鱑	hoàng
飈	biểu
獁	mã
㹱	xúc,thước
囟	tín
噌	tăng
稈	cán
旌	tinh
鈍	độn
车	xa
錔	tháp,thạp
猴	hầu
俟	sĩ
峽	hiệp,hạp,giáp
癈	phế
罶	lữu
贖	thục
祃	mạ
咿	y
岵	hỗ
搢	tấn
爮	bào
跃	dược
猡	la
鳆	phục
煲	bao,bảo
楄	biên,biền
佾	dật
鞵	hài
攺	cải
稘	ky,cơ,kỳ
睆	hoản,hoãn
鸧	thương
髀	bễ
攃	thát
艹	thảo
擐	hoàn,hoạn
懰	lữu,lưu
櫆	khôi
牡	mẫu
谏	gián
洮	dao,đào,thao,diêu
垌	đồng,dũng
緂	điềm
脟	luyến,liệt
卆	thốt,tốt
榅	ốt,ôn,uấn
沮	trở,thư,tư,tự
浆	tương
𤫎	oánh
独	độc
潠	tuyển,tốn
橉	lân
矱	hoạch
諕	hào,hách
頹	đồi
膺	ưng
穻	vũ,hu
嚶	anh
骶	để
鸺	hưu
藺	lận
宻	mật
墦	phiền
瘢	ban,bàn
捈	đồ
扉	phi
扔	nhận,nhưng
碄	lâm
鉕	phả
氋	mông
鼿	ngột
贱	tiện
崤	hào,yêm
贔	bí
耙	ba,bá,bà
滏	phũ,phủ
鹺	ta
熠	dập,tập
簜	đãng
荻	địch
幽	u
哒	đát
蜛	cư
嫈	oanh
渨	úy,ôi
樧	sát
愴	sang,sảng
恻	trắc
歘	hốt
吟	ngâm
沖	xung,trùng
钰	ngọc
哭	khốc
煕	hy,hi
虐	ngược
恊	hiệp
褠	câu
盃	bôi
倏	thúc
甔	đàm
潴	trư,rư,chư
飯	phạn,phãn
漿	tương
为	vị,vy,vi
唊	khiểm,giáp
窑	dao,diêu
岂	khởi,khỉ,khải
蜘	tri
腡	loa
犅	cương
台	thai,di,đài
卺	cẩn
匉	phanh
瑞	thụy
亅	quyết
泛	phiếm,phủng
虏	lỗ
盼	phiến,phán,miện
撟	kiểu,kiệu,kiều
钽	đán
镻	điệt
暇	hạ,xuyết
纷	phân
撴	đôn
𪇄	cấu
淂	đắc
弼	bật
壿	chung
嵏	tông
迊	nghinh,tạp,nghênh,táp
赥	hức
阍	hôn
他	đà,tha
獵	liệp,lạp
盷	điền
鼯	ngô
謯	trở,trớ
㶿	bột
破	phá
獐	chương
謾	mạn,man
裘	cầu,cừu
滉	hoảng
轆	lộc
钺	việt
拝	bái
暭	hạo
駮	bác
鮶	quân
缵	toản
腲	ủy,ổi
愁	sầu
坞	ổ
晗	hàm
巊	anh
袵	nhẫm
尓	nhĩ
剨	hoạch,lưu,họa
漂	xiếu,phiếu,phiêu
琰	diễm
垄	lũng
瞂	phạt
縳	truyện
碨	ôi
脁	thiếu,thiểu
齎	tê,tư
啧	sách,trách
溍	tấn
砝	kiếp,pháp
蚱	trách
繻	nhu
蠎	mãng
臥	ngọa
緅	tưu
召	chiêu,triệu,thiệu
堉	dục
兜	đâu
鄮	mậu
扊	diễm,diệm
翿	đạo,đào
衅	hấn
糹	mịch
浹	giáp,tiếp
悫	khác
坕	kinh
逌	do,du
鼛	đào,cao
峤	kiêu,kiệu,kiều
欑	toàn,toản
藉	tạ,tá,tịch
沝	chủy
導	đạo
霰	tản,tán
肱	quăng
蹮	tiên
谹	hoành
攝	nhiếp
泰	thái
蹛	trệ
鬬	đấu
貙	sơ,khu
馳	trì
绞	hào,giảo
飗	lưu
橙	đắng,chanh,sập,tranh
蚁	nghĩ
戞	kiết
竸	cạnh
諸	gia,chư
幃	vy,vi
覈	hạch
佣	dong,dụng,dung
戎	nhung
灚	giảo
蘀	thác
両	lạng,lưỡng,lượng
卖	mại
拸	trì
闞	hám,khám,hảm,giảm
秄	tử
搖	dao,diêu
漑	khái,cái
吥	bất
聀	chức
咊	hòa
簾	liêm
錆	thương
舲	linh
麪	miến
豋	đăng
颻	dao,diêu
詪	ngận
恡	lận
鬣	liệp
庋	qủy,kĩ,kỹ
譬	thí
翷	lân
擓	khối
韪	vĩ
砌	thế,xế
葇	nhu
躏	lận
柅	ni,sí
幨	siểm,xiêm,siêm
轩	hiên
框	khuông
咐	phó,phù
厦	hạ
磹	điệm
誘	dụ
暍	hát,yết
鉢	bát
挥	huy
蹔	tạm
邙	mang
麫	miến
茛	cấn
訹	tuất
祺	kỳ,kì
霭	ái,ải
攻	công
縊	ải
溏	đường
抠	khu
銃	súng
聋	lung
纛	đạo,độc
悰	tông
骣	sạn
艤	nghĩ
餕	tuấn
発	phát
僐	thiện
甐	lân
圏	khuyên,quyển
铉	huyễn
哢	lộng
鰻	man
俘	phu
时	thời,thì
靾	duệ,dị
镬	hoạch
願	nguyện
戳	trốc,trạc,sác
醱	phát,bát
覸	gián
踕	tiệp
獏	mạc,mô
焊	hạn,hãn
礿	dược,thược
姦	gian
晬	tối
远	viễn,viến
縉	tấn
蠕	nhuyễn,nhu
稴	liêm
败	bại
纍	lũy,luy,lụy
养	dưỡng,dượng,dường,dạng
磶	tích
艆	lang
孑	quyết,kiết
旰	cán,hãn
軏	nguyệt,ngột
鸇	chiên
窢	vực
精	tinh
顀	trùy
抴	duệ
覺	giáo,giác
更	cánh,canh
喑	âm,ấm
蘥	dược
羠	di
氤	nhân
譀	hám
承	tặng,chửng,thừa
軹	chỉ
腰	yêu
茓	huyệt
譯	dịch
蒽	ân
绁	tiết
鞦	thu
隻	chích
懂	đổng
斕	lan
菊	cúc
齟	trở,thư
恜	sức
胺	át
櫸	cử
鰍	thu
逍	tiêu
缈	diểu,miểu
羝	đê
袣	duệ
镌	tuyên
蓶	dụy
扐	lặc
镚	băng
纴	nhâm
罹	duy,ly,li
覉	ky,ki
伞	tản,tán
渺	diểu,miểu,diêu
芍	thược
动	động
少	thiếu,thiểu
丽	lệ,ly
褛	lũ
锂	lý
蹄	đề
觑	thứ
卍	vạn
澧	lễ
莽	mãng
岊	tiết
巴	ba
涇	kinh,kính
崃	lai
軲	cô
圖	đồ
賂	lộ
黡	yểm
龀	sấn
揵	kiện,kiền
槊	sóc,sáo
蕆	sản,siển,xiển
呻	thân,hạp
靥	yểm,yếp
縕	ôn,uẩn,uân
陜	xiểm,thiểm,hiệp
觝	để
軻	kha
陣	trận
譑	kiểu
轈	sào
討	thảo
尟	tiển
铜	đồng
膓	tràng,trường
婎	huy
扂	điếm,điệm
芽	nha
馍	mô,ma
蠔	hào
遁	tuần,độn,thuân
櫛	trất
虢	quắc,quách
晤	ngộ
划	hoạch,hoa,qủa,họa
縰	ly,sỉ,sái
魊	vực
硬	ngạnh
憗	ngận
蹼	phốc,bốc
锒	lang
掣	sế,xế,xiết
靼	đát
餠	bính
羢	nhung
悁	quyến,quyên
鸌	oách
莩	phu,biễu,biểu
嘔	hú,ẩu,âu,hu
许	hử,hứa,hổ
荑	đề,di
鬐	kỳ,kì
狍	bào
毰	bồi
啜	xuyết
𠁷	sản
曳	duệ
蟣	kỉ,kì,kỷ,kỳ
牾	ngộ,ngỗ
茘	lệ
睍	hiện,hiển
罅	há
圭	khuê
綸	quan,luân
輧	bình
蜳	đôn
摠	tổng
揲	diệp,xà,thiệt,điệp
返	phiên,phản
溮	sư
歼	tiêm
鮌	cổn
埜	dã
縍	bàng
涼	lương,lượng
珀	phách
锈	tú
裧	xiêm
儢	lữ
鄣	chướng,chương
濘	nính,nịnh
蠑	vinh
饞	sàm
猻	tôn
状	trạng
鴓	bật
腺	tuyến
緷	hồn,vận
妯	trừu,trục
瓬	phưởng
忑	đảo,thắc
獴	mông
甁	bình
荍	kiều
卷	quyến,quyền,quyển
瑤	dao
犈	quyền
厴	áp
纠	kiểu,củ
觻	lộc
刧	kiếp
铴	thảng
艫	lô
乔	kiều
镺	áo
呲	thử
礆	dảm,kiềm,thiêm
佩	bội
轴	trục
簑	thoa,xoa
刉	ky
崛	quật
曉	hiểu
鈼	tạc
蜨	điệp
耆	kỳ,kì,thị,chỉ
鵠	hộc,cốc
耘	vân
晏	án,yến
監	giám,giam
戲	huy,hi,hô,hí,hý
帚	trửu,chửu
慽	thích
乀	phất,phật
赍	tê
龜	quy,quân,khưu,cưu
悢	lãng,lượng
謹	cẩn
祿	lục,lộc
贅	chuế
薦	tiến,tấn,trãi
蕸	hà
訐	yết,kiết
嵒	nham
笙	sanh,sinh
箘	duẩn,khuân
瘟	ôn
兖	duyện,duyễn
撒	tản,tát
蠃	loa,lõa,lỏa
籯	doanh
閔	mẫn
琁	toàn,quỳnh,tuyền
贓	tang
枣	táo,tảo
呶	nao
牚	sanh
襊	toát
贇	uân
罽	kế
鳝	thiện
晈	hiểu
识	chí,thức
鰼	tập
嶟	tôn
猝	thốt
穑	sắc
圠	át
噳	ngu
阯	chỉ
砧	châm
诌	sưu,sảo
鹹	hàm,giảm
减	giảm
鮪	vị,vĩ
烝	chưng,chứng
糵	nghiệt
端	đoan
岱	đại
脖	bột
醯	ê,hề
辐	bức,phúc
漪	y
卒	thốt,tuất,tốt
綵	thể,thái,thải
膊	bác,bạc
閙	náo,nháo
畱	lưu
醨	ly,li
恐	khúng,khủng
阖	hạp
碞	nham
悍	hãn
轫	nhận
蓐	nhục
卮	chi
鋕	chí
輊	chí
裯	chù,trù,đao
协	hiệp
讲	giảng
浈	trinh
混	côn,hồn,hỗn,cổn
锸	tráp
入	nhập
齚	sạ,trách
巳	tị,tỵ
蹏	đề
虽	tuy
薀	ôn,uẩn
钸	bố
燹	tiển
欄	lan
探	thám,tham
犌	gia
氎	điệp
囤	độn,đồn
哞	mâu
榬	viên
曄	diệp
喤	hoàng
铸	chú
忭	biện
玄	huyền
肥	phì
蕉	tiêu
弸	băng,bằng
铞	điếu
檝	tiếp
酲	trình
挅	sủy,đỏa,tuy
迟	trí,khích,trì
蔬	sơ
琮	tông
歎	thán
潢	hoàng,hoảng
匓	cứu
鈚	phê
细	tế
孨	chuyển
狽	bái
飾	sức
咷	đào
鰌	thu,tù
闸	sạp,áp
瞇	mị
玱	thương
蓱	bình
盅	trung,chung
鶼	kiêm
顠	phiếu
簮	trâm
羇	ky,ki
鐮	liêm
量	lương,lường,lượng
狑	linh
绨	đề
籢	liêm
芾	phất,phí
酡	đà
叻	lặc
笴	hạo,khả
恙	dạng
楟	đình
偷	thâu,du
羡	tiện,di
沋	vưu
滭	tất
円	viên
恅	lão
搴	khiên
伱	nhĩ,nễ
汨	duật,cốt,mịch
鉊	chiêu
剩	thặng
溥	phu,phổ,bạc
搉	giác,xác
伋	cấp
鏝	man
美	mĩ,mỹ
